Title,Author,Book_info_url,Book_cover_url,Amazon_url,Apple_book_url
Across Realtime,Vernor Vinge,https://www.goodbooks.io/books/across-realtime,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e589f542804b256c79c2dcb_across-realtime.jpeg,https://www.amazon.com/dp/0671720988,
Across The Fence,John Stryker Meyer,https://www.goodbooks.io/books/across-the-fence,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e589f55e4b5f59d90c92d87_across-the-fence.jpeg,https://www.amazon.com/dp/0983256705,https://books.apple.com/us/audiobook/across-fence-expanded-edition-secret-war-in-vietnam/id1493805322?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Across the Universe,Beth Revis,https://www.goodbooks.io/books/across-the-universe,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aae21acaa028be5bb922_across-the-universe.jpeg,https://www.amazon.com/Across-Universe-Author-Revis-January/dp/B004NL1QHI/,https://books.apple.com/us/book/across-the-universe/id398284022?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Act Like A Success; Think Like A Success,Steve Harvey,https://www.goodbooks.io/books/act-like-a-success-think-like-a-success,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aae3841dc071b199292e_act-like-a-success-think-like-a-success.jpeg,https://www.amazon.com/Act-Like-Success-Think-Discovering/dp/0062220330/,https://books.apple.com/us/book/act-like-a-success-think-like-a-success/id778996034?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Act One,Moss Hart,https://www.goodbooks.io/books/act-one,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcca8dd82634b49de66b0_act-one.jpeg,https://www.amazon.com/Act-One-Autobiography-Moss-Hart/dp/1250050898/,https://books.apple.com/us/audiobook/act-one-an-autobiography/id1421309168?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=audio-books_act_one%3A_an_autobiography&ls=1
Adapt,Tim Harford,https://www.goodbooks.io/books/adapt,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aae3ef0f9013e94da584_adapt.jpeg,https://www.amazon.com/Adapt-Success-Always-Starts-Failure/dp/1250007550/,https://books.apple.com/us/book/adapt/id421123691?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Addiction Proof Your Child,Stanton Peele,https://www.goodbooks.io/books/addiction-proof-your-child,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e899fd94fbaea6aef208f88_addiction-proof-your-child.jpeg,https://www.amazon.com/dp/0307237575/,https://books.apple.com/us/book/addiction-proof-your-child/id420745979?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_addiction_proof_your_child&ls=1
Addiction by Design,Natasha Dow SchÃ¼ll,https://www.goodbooks.io/books/addiction-by-design,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aae48a616a2e64882c5e_addiction-by-design.jpeg,https://www.amazon.com/Addiction-Design-Machine-Gambling-Vegas/dp/0691160880/,https://books.apple.com/us/book/addiction-by-design/id731620202?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Adios; Motherfucker,Michael Ruffino,https://www.goodbooks.io/books/adios-motherfucker,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e899fbc06f670fa77d0d56c_adios-motherfucker.jpeg,https://www.amazon.com/dp/006222896X/,https://books.apple.com/us/book/adios-motherfucker/id660510457?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Adjaye Africa Architecture,David Adjaye,https://www.goodbooks.io/books/adjaye-africa-architecture,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbcca90196cab58b452455_adjaye-africa-architecture.jpeg,https://www.amazon.com/Adjaye-Africa-Architecture-Compact-David/dp/0500343160/,
Advanced Selling Strategies,Brian Tracy,https://www.goodbooks.io/books/advanced-selling-strategies,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aae51acaa052cc5bb92b_advanced-selling-strategies.jpeg,https://www.amazon.com/Advanced-Selling-Strategies-Techniques-Salespeople/dp/0684824744/,https://books.apple.com/us/audiobook/advanced-selling-strategies-abridged/id1439694455?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Advanced Style,Ari Seth Cohen,https://www.goodbooks.io/books/advanced-style,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e589f56e4b5f59ff3c92d8b_advanced-style.jpeg,https://www.amazon.com/dp/1576877973,https://books.apple.com/us/book/advanced-style/id1521686880?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Adventures in the Screen Trade,William Goldman,https://www.goodbooks.io/books/adventures-in-the-screen-trade,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aae6841dc070b7992944_adventures-in-the-screen-trade.jpeg,https://www.amazon.com/Adventures-Screen-Trade-Personal-Hollywood/dp/B00DJG5NT0/,https://books.apple.com/us/book/adventures-in-the-screen-trade/id514087073?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Adventures of Huckleberry Finn,Mark Twain,https://www.goodbooks.io/books/adventures-of-huckleberry-finn,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e55e2650aff9df7b9f253a7_adventures-of-huckleberry-finn.jpeg,https://www.amazon.com/dp/0486280616,https://books.apple.com/us/book/adventures-of-huckleberry-finn/id763955447?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Adventures of a Bystander,Peter F. Drucker,https://www.goodbooks.io/books/adventures-of-a-bystander,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e589f584172e8e2c5897f63_adventures-of-a-bystander.jpeg,https://www.amazon.com/dp/0471247391,https://books.apple.com/us/book/adventures-of-a-bystander/id1263497667?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Adverbs,Daniel Handler,https://www.goodbooks.io/books/adverbs,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e589f5a7bb9af8ecc96a8da_adverbs.jpeg,https://www.amazon.com/dp/B000VYX8O0,https://books.apple.com/us/book/adverbs/id360628295?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Adversity Quotient,Paul G. Stoltz,https://www.goodbooks.io/books/adversity-quotient,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e72aae78a616a2ec4882c63_adversity-quotient.jpeg,https://www.amazon.com/Adversity-Quotient-Work-Challenges-Success-Putting/dp/B01NGZZ46O/,
AdÃ©nÃ¬kÃ©,Adenike Oyetunde,https://www.goodbooks.io/books/adenike,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5f157e8e1af0b53775e62b56_adenike.jpeg,https://www.amazon.com/Ad%C3%A9n%C3%ACk%C3%A9-Story-Your-Movie-Glory-ebook/dp/B07MSFHLRM/,
Aeneid,Virgil,https://www.goodbooks.io/books/aeneid,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e57284e5af7f9fa54e50579_aeneid.jpeg,https://www.amazon.com/dp/1521558841,https://books.apple.com/us/book/the-aeneid/id498687809?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Affective Computing,Rosalind W. Picard,https://www.goodbooks.io/books/affective-computing,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbccabe9ba0abbe91b0975_affective-computing.jpeg,https://www.amazon.com/Affective-Computing-Press-Rosalind-Picard/dp/0262661152/,
Affective Neuroscience,Jaak Panksepp,https://www.goodbooks.io/books/affective-neuroscience,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e589f5b7bb9af7a2596a8dc_affective-neuroscience.jpeg,https://www.amazon.com/dp/019517805X,https://books.apple.com/us/book/affective-neuroscience/id806803933?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Affluenza,Clive Hamilton & Richard Denniss,https://www.goodbooks.io/books/affluenza,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5e8320a142594a427969799c_affluenza.jpeg,https://www.amazon.com/Affluenza-Hamilton-Denniss-Richard-Paperback/dp/B00ZY8ZNXC/,https://books.apple.com/us/book/affluenza/id620654723?itsct=books_toolbox&itscg=30200&at=1000l35AS&ls=1
Africa Rise and Shine,Jim Ovia,https://www.goodbooks.io/books/africa-rise-and-shine,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5f157e8fb9588cd617d994ca_africa-rise-and-shine.jpeg,https://www.amazon.com/Africa-Rise-Shine-Entrepreneur-Beginnings/dp/1946633402/,https://books.apple.com/us/book/africa-rise-and-shine/id1434460210?itsct=books_toolbox&itscg=30200&at=1000l35AS&ct=books_africa_rise_and_shine&ls=1
After Such Knowledge; What Forgiveness?,Jonathan Randal,https://www.goodbooks.io/books/after-such-knowledge-what-forgiveness,https://global-uploads.webflow.com/5e33a765cf951f99dc204f8b/5ebbccac2462157a6327f75b_after-such-knowledge-what-forgiveness.jpeg,https://www.amazon.com/Kurdistan-After-Such-Knowledge-Forgiveness/dp/0747536368/,
